Date	Time	Day	Latitude	Longitude	 Altitude	 Distance
9/9/21	20:40:11	1	-27.396734	151.783981	428.109985	1.728855
9/9/21	20:41:13	1	-27.396734	151.783966	434.209991	1.506401
9/9/21	20:42:16	1	-27.39673	151.783966	424.089996	0.424175
9/9/21	20:43:18	1	-27.396708	151.783981	441.569977	2.957452
9/9/21	20:44:21	1	-27.396749	151.783981	434.049988	4.665925
9/9/21	20:45:24	1	-27.39673	151.783981	440.23999	2.120875
9/9/21	20:46:26	1	-27.396709	151.783981	436.75	2.332962
9/9/21	20:47:29	1	-27.396753	151.783966	432.380005	5.105316
9/9/21	20:48:32	1	-27.396732	151.784012	429.410004	5.085853
9/9/21	20:49:35	1	-27.396749	151.783936	430.190002	7.770106
9/9/21	20:50:39	1	-27.396662	151.784042	430.98999	14.365688
9/9/21	20:51:42	1	-27.396774	151.78392	430.029999	17.372704
9/9/21	20:52:45	1	-27.39669	151.784027	435.929993	14.081063
9/9/21	20:53:48	1	-27.396662	151.784042	426.380005	3.519942
9/9/21	20:54:51	1	-27.39665	151.783981	425.279999	6.158512
9/9/21	20:55:54	1	-27.396639	151.783951	421.910004	3.270521
9/9/21	20:56:58	1	-27.396576	151.783966	436.849976	7.159167
9/9/21	20:58:01	1	-27.396646	151.783966	420.449982	7.847237
9/9/21	20:59:04	1	-27.396643	151.783981	416.699982	1.564983
9/9/21	21:00:09	1	-27.396599	151.783997	419.649994	5.105316
9/9/21	21:01:14	1	-27.396637	151.783966	436.589996	5.202829
9/9/21	21:02:18	1	-27.396652	151.783936	433.690002	3.457713
9/9/21	21:03:22	1	-27.396688	151.784103	420.459991	17.053356
9/9/21	21:04:25	1	-27.396679	151.783966	416.039978	13.599022
9/9/21	21:05:28	1	-27.396677	151.783981	417.269989	1.521258
9/9/21	21:06:32	1	-27.396721	151.783951	425.589996	5.733409
9/9/21	21:07:35	1	-27.396656	151.783936	427.929993	7.366641
9/9/21	21:08:38	1	-27.396622	151.783951	425.720001	4.104038
9/9/21	21:09:41	1	-27.396698	151.783981	415.47998	9.002597
9/9/21	21:10:44	1	-27.396631	151.783997	430.220001	7.574371
9/9/21	21:11:47	1	-27.396633	151.783951	424.25	4.524181
9/9/21	21:12:50	1	-27.396681	151.783951	413.399994	5.302187
9/9/21	21:13:52	1	-27.396637	151.783981	423.949982	5.73341
9/9/21	21:14:54	1	-27.396685	151.784012	428.380005	6.098375
9/9/21	21:15:56	1	-27.396667	151.784012	406.639984	1.908787
9/9/21	21:16:58	1	-27.39666	151.783997	425.069977	1.728856
9/9/21	21:18:00	1	-27.396646	151.783997	427.199982	1.484612
9/9/21	21:19:02	1	-27.396666	151.783936	417.279999	6.387962
9/9/21	21:20:04	1	-27.396629	151.784058	418.279999	12.707084
9/9/21	21:21:07	1	-27.396654	151.784042	423.069977	3.141823
9/9/21	21:22:10	1	-27.396666	151.78392	438.829987	12.118213
9/9/21	21:23:14	1	-27.396723	151.783951	437.910004	7.039884
9/9/21	21:24:22	1	-27.39669	151.783966	439.359985	3.907529
9/9/21	21:25:25	1	-27.396563	151.784012	441.029999	14.911184
9/9/21	21:26:29	1	-27.396603	151.783966	436.139984	6.34507
9/9/21	21:27:33	1	-27.39666	151.78389	432.160004	9.859725
9/9/21	21:28:37	1	-27.396637	151.784027	433.779999	13.794429
9/9/21	21:29:38	1	-27.396614	151.783981	429.919983	5.18657
9/9/21	21:30:42	1	-27.396629	151.783966	431.919983	2.268929
