Date	Time	Day	Latitude	Average_Lat	Longitude	Average_Long
9/9/21	21:09:04	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:05	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:06	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:07	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:08	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:09	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:10	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:11	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:13	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:14	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:15	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:16	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:20	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:21	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:22	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:23	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:24	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:25	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:26	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:27	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:28	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:29	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:30	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:31	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:35	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:36	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:37	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:38	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:39	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:40	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:41	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:42	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:43	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:44	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:45	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:46	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:47	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:48	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:49	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:50	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:51	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:52	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:53	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:54	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:55	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:56	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:57	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:58	1	-27.397476	151.782181	428.329987	0
9/9/21	21:09:59	1	-27.397476	151.782181	428.329987	0
9/9/21	21:10:00	1	-27.397476	151.782181	428.329987	0
